,Time,Topics,pos/neu/neg
617,2021-12-01 14:24:12+00:00,pro vax,positive
618,2021-12-01 14:24:06+00:00,vaccine effects,negative
620,2021-12-01 14:24:01+00:00,vaccine effects,negative
621,2021-12-01 14:23:58+00:00,anti vaccine,positive
622,2021-12-01 14:23:52+00:00,joke,negative
624,2021-12-01 14:23:45+00:00,pro vax,positive
625,2021-12-01 14:23:05+00:00,vaccine effects,negative
626,2021-12-01 14:23:04+00:00,pandemic effects,neutral
628,2021-12-01 14:22:51+00:00,infections,neutral
629,2021-12-01 14:22:46+00:00,anti vaccine,positive
630,2021-12-01 14:22:31+00:00,infections,positive
631,2021-12-01 14:22:13+00:00,anti vaccine,neutral
632,2021-12-01 14:22:07+00:00,infections,neutral
633,2021-12-01 14:21:10+00:00,infections,negative
634,2021-12-01 14:21:02+00:00,anti vaccine,positive
635,2021-12-01 14:20:45+00:00,vaccine effects,negative
636,2021-12-01 14:20:42+00:00,joke,neutral
637,2021-12-01 14:20:26+00:00,infections,negative
638,2021-12-01 14:20:17+00:00,infections,negative
639,2021-12-01 14:20:14+00:00,infections,negative
640,2021-12-01 14:19:58+00:00,anti vaccine,negative
641,2021-12-01 14:19:54+00:00,joke,neutral
642,2021-12-01 14:19:46+00:00,infections,negative
643,2021-12-01 14:19:39+00:00,infections,negative
644,2021-12-01 14:19:31+00:00,infections,neutral
645,2021-12-01 14:18:22+00:00,infections,positive
646,2021-12-01 14:17:49+00:00,pandemic effects,negative
647,2021-12-01 14:17:44+00:00,anti vaccine,neutral
648,2021-12-01 14:17:44+00:00,anti vaccine,neutral
649,2021-12-01 14:17:44+00:00,infections,neutral
650,2021-12-01 14:17:28+00:00,infections,neutral
651,2021-12-01 14:17:01+00:00,anti vaccine,neutral
652,2021-12-01 14:16:42+00:00,anti vaccine,negative
653,2021-12-01 14:16:39+00:00,vaccine effects,negative
654,2021-12-01 14:16:16+00:00,infections,neutral
655,2021-12-01 14:16:12+00:00,infections,neutral
656,2021-12-01 14:16:12+00:00,infections,neutral
657,2021-12-01 14:15:48+00:00,joke,negative
658,2021-12-01 14:15:40+00:00,anti vaccine,neutral
660,2021-12-01 14:15:32+00:00,joke,neutral
661,2021-12-01 14:15:24+00:00,pandemic effects,negative
662,2021-12-01 14:15:11+00:00,anti vaccine,negative
663,2021-12-01 14:15:10+00:00,anti vaccine,negative
664,2021-12-01 14:15:05+00:00,anti vaccine,neutral
666,2021-12-01 14:15:00+00:00,pro vax,positive
667,2021-12-01 14:14:52+00:00,anti vaccine,negative
668,2021-12-01 14:14:47+00:00,anti vaccine,neutral
669,2021-12-01 14:14:47+00:00,infections,neutral
670,2021-12-01 14:13:56+00:00,anti vaccine,negative
672,2021-12-01 14:13:48+00:00,pro vax,neutral
673,2021-12-01 14:13:44+00:00,infections,positive
674,2021-12-01 14:13:30+00:00,anti vaccine,neutral
675,2021-12-01 14:13:25+00:00,anti vaccine,neutral
676,2021-12-01 14:13:18+00:00,anti vaccine,negative
677,2021-12-01 14:13:08+00:00,anti vaccine,positive
678,2021-12-01 14:13:07+00:00,infections,negative
680,2021-12-01 14:12:16+00:00,infections,neutral
681,2021-12-01 14:12:05+00:00,anti vaccine,neutral
682,2021-12-01 14:11:53+00:00,vaccine effects,negative
683,2021-12-01 14:11:51+00:00,vaccine effects,negative
684,2021-12-01 14:11:50+00:00,infections,negative
685,2021-12-01 14:11:42+00:00,anti vaccine,neutral
686,2021-12-01 14:11:41+00:00,anti vaccine,positive
687,2021-12-01 14:11:37+00:00,infections,positive
688,2021-12-01 14:11:36+00:00,anti vaccine,negative
689,2021-12-01 14:11:35+00:00,infections,negative
692,2021-12-01 14:10:54+00:00,anti vaccine,positive
693,2021-12-01 14:10:54+00:00,anti vaccine,negative
694,2021-12-01 14:10:52+00:00,anti vaccine,positive
695,2021-12-01 14:10:51+00:00,vaccine effects,negative
696,2021-12-01 14:10:47+00:00,anti vaccine,negative
697,2021-12-01 14:10:11+00:00,joke,neutral
699,2021-12-01 14:10:07+00:00,vaccine effects,neutral
701,2021-12-01 14:09:55+00:00,anti vaccine,negative
702,2021-12-01 14:09:54+00:00,anti vaccine,negative
703,2021-12-01 14:09:37+00:00,infections,negative
704,2021-12-01 14:09:35+00:00,anti vaccine,neutral
705,2021-12-01 14:09:26+00:00,vaccine effects,negative
706,2021-12-01 14:09:23+00:00,joke,neutral
708,2021-12-01 14:09:03+00:00,infections,neutral
710,2021-12-01 14:08:47+00:00,anti vaccine,neutral
711,2021-12-01 14:08:29+00:00,vaccine effects,negative
712,2021-12-01 14:08:09+00:00,pro vax,positive
713,2021-12-01 14:07:56+00:00,anti vaccine,neutral
714,2021-12-01 14:07:50+00:00,anti vaccine,negative
715,2021-12-01 14:07:48+00:00,vaccine effects,neutral
716,2021-12-01 14:07:39+00:00,vaccine effects,positive
717,2021-12-01 14:06:51+00:00,anti vaccine,negative
718,2021-12-01 14:05:50+00:00,anti vaccine,negative
720,2021-12-01 14:05:46+00:00,vaccine effects,negative
721,2021-12-01 14:05:39+00:00,vaccine effects,negative
722,2021-12-01 14:05:36+00:00,vaccine effects,positive
723,2021-12-01 14:05:04+00:00,vaccine effects,negative
724,2021-12-01 14:04:52+00:00,joke,neutral
725,2021-12-01 14:04:41+00:00,pro vax,positive
726,2021-12-01 14:04:36+00:00,anti vaccine,negative
727,2021-12-01 14:04:26+00:00,vaccine effects,negative
729,2021-12-01 14:03:59+00:00,vaccine effects,negative
730,2021-12-01 14:03:33+00:00,anti vaccine,negative
731,2021-12-01 14:03:18+00:00,vaccine effects,positive
732,2021-12-01 14:03:14+00:00,pro vax,positive
733,2021-12-01 14:03:13+00:00,pro vax,positive
734,2021-12-01 14:03:12+00:00,vaccine effects,negative
735,2021-12-01 14:03:01+00:00,anti vaccine,neutral
736,2021-12-01 14:03:00+00:00,anti vaccine,negative
737,2021-12-01 14:02:48+00:00,pro vax,positive
741,2021-12-01 14:02:21+00:00,anti vaccine,negative
742,2021-12-01 14:02:14+00:00,vaccine effects,neutral
743,2021-12-01 14:02:12+00:00,vaccine effects,neutral
744,2021-12-01 14:01:58+00:00,vaccine effects,neutral
745,2021-12-01 14:01:51+00:00,anti vaccine,negative
747,2021-12-01 14:01:22+00:00,pro vax,positive
748,2021-12-01 14:01:20+00:00,pro vax,positive
749,2021-12-01 14:01:10+00:00,pro vax,neutral
750,2021-12-01 14:00:40+00:00,vaccine effects,neutral
751,2021-12-01 14:00:34+00:00,vaccine effects,negative
752,2021-12-01 14:00:14+00:00,pro vax,negative
753,2021-12-01 14:00:07+00:00,joke,neutral
754,2021-12-01 14:00:03+00:00,anti vaccine,neutral
756,2021-12-01 14:00:02+00:00,anti vaccine,neutral
757,2021-12-01 14:00:02+00:00,pro vax,neutral
762,2021-12-01 14:00:00+00:00,vaccine effects,neutral
763,2021-12-01 13:59:54+00:00,anti vaccine,neutral
764,2021-12-01 13:59:20+00:00,anti vaccine,negative
765,2021-12-01 13:58:58+00:00,pro vax,negative
766,2021-12-01 13:58:49+00:00,vaccine effects,negative
767,2021-12-01 13:58:49+00:00,vaccine effects,negative
768,2021-12-01 13:58:46+00:00,vaccine effects,neutral
769,2021-12-01 13:58:24+00:00,anti vaccine,neutral
770,2021-12-01 13:58:23+00:00,pro vax,neutral
771,2021-12-01 13:57:56+00:00,anti vaccine,negative
772,2021-12-01 13:57:28+00:00,vaccine effects,negative
773,2021-12-01 13:57:24+00:00,anti vaccine,negative
774,2021-12-01 13:56:59+00:00,pro vax,positive
775,2021-12-01 13:56:57+00:00,vaccine effects,neutral
776,2021-12-01 13:56:55+00:00,vaccine effects,negative
777,2021-12-01 13:56:17+00:00,vaccine effects,negative
778,2021-12-01 13:56:11+00:00,pro vax,neutral
779,2021-12-01 13:55:39+00:00,pro vax,neutral
780,2021-12-01 13:55:28+00:00,pro vax,positive
781,2021-12-01 13:55:27+00:00,anti vaccine,neutral
782,2021-12-01 13:55:21+00:00,anti vaccine,neutral
783,2021-12-01 13:54:42+00:00,pro vax,positive
784,2021-12-01 13:54:35+00:00,pro vax,positive
785,2021-12-01 13:54:34+00:00,pro vax,positive
786,2021-12-01 13:54:22+00:00,anti vaccine,neutral
787,2021-12-01 13:54:21+00:00,anti vaccine,neutral
788,2021-12-01 13:53:16+00:00,pro vax,neutral
790,2021-12-01 13:53:02+00:00,pro vax,neutral
791,2021-12-01 13:53:02+00:00,anti vaccine,negative
792,2021-12-01 13:52:59+00:00,anti vaccine,negative
793,2021-12-01 13:52:49+00:00,anti vaccine,neutral
794,2021-12-01 13:52:40+00:00,vaccine effects,negative
795,2021-12-01 13:52:40+00:00,anti vaccine,negative
796,2021-12-01 13:52:31+00:00,vaccine effects,negative
797,2021-12-01 13:52:28+00:00,infections,negative
798,2021-12-01 13:52:20+00:00,news,neutral
799,2021-12-01 13:52:10+00:00,joke,negative
800,2021-12-01 13:52:07+00:00,anti vaccine,neutral
801,2021-12-01 13:52:04+00:00,joke,neutral
802,2021-12-01 13:52:02+00:00,pro vax,neutral
803,2021-12-01 13:52:01+00:00,vaccine effects,negative
804,2021-12-01 13:52:01+00:00,pro vax,positive
805,2021-12-01 13:51:52+00:00,infections,neutral
806,2021-12-01 13:51:33+00:00,anti vaccine,neutral
807,2021-12-01 13:51:32+00:00,joke,neutral
808,2021-12-01 13:51:03+00:00,joke,neutral
809,2021-12-01 13:50:38+00:00,vaccine effects,negative
810,2021-12-01 13:50:31+00:00,pro vax,neutral
811,2021-12-01 13:50:18+00:00,pro vax,neutral
812,2021-12-01 13:50:10+00:00,pro vax,neutral
813,2021-12-01 13:50:04+00:00,anti vaccine,neutral
815,2021-12-01 13:49:13+00:00,news,neutral
816,2021-12-01 13:47:45+00:00,pro vax,neutral
818,2021-12-01 13:47:17+00:00,joke,neutral
819,2021-12-01 13:47:15+00:00,pro vax,neutral
820,2021-12-01 13:47:09+00:00,anti vaccine,neutral
821,2021-12-01 13:46:48+00:00,anti vaccine,negative
822,2021-12-01 13:46:38+00:00,anti vaccine,neutral
823,2021-12-01 13:46:19+00:00,vaccine effects,negative
826,2021-12-01 13:45:38+00:00,pro vax,neutral
828,2021-12-01 13:45:21+00:00,pro vax,neutral
830,2021-12-01 13:45:04+00:00,joke,positive
831,2021-12-01 13:45:02+00:00,joke,neutral
833,2021-12-01 13:43:50+00:00,anti vaccine,neutral
834,2021-12-01 13:43:48+00:00,vaccine effects,negative
835,2021-12-01 13:43:44+00:00,anti vaccine,negative
838,2021-12-01 13:42:33+00:00,pro vax,positive
839,2021-12-01 13:42:19+00:00,anti vaccine,negative
840,2021-12-01 13:41:57+00:00,pro vax,positive
841,2021-12-01 13:41:14+00:00,anti vaccine,neutral
842,2021-12-01 13:41:02+00:00,vaccine effects,neutral
843,2021-12-01 13:40:35+00:00,vaccine effects,negative
844,2021-12-01 13:40:25+00:00,vaccine effects,positive
845,2021-12-01 13:40:14+00:00,vaccine effects,negative
846,2021-12-01 13:40:10+00:00,anti vaccine,negative
847,2021-12-01 13:38:54+00:00,news,neutral
848,2021-12-01 13:38:27+00:00,pro vax,positive
851,2021-12-01 13:37:33+00:00,pro vax,positive
852,2021-12-01 13:37:28+00:00,vaccine effects,negative
853,2021-12-01 13:37:18+00:00,pro vax,neutral
854,2021-12-01 13:36:57+00:00,anti vaccine,neutral
855,2021-12-01 13:36:39+00:00,anti vaccine,neutral
857,2021-12-01 13:36:17+00:00,pro vax,neutral
858,2021-12-01 13:36:02+00:00,news,neutral
859,2021-12-01 13:34:58+00:00,vaccine effects,negative
861,2021-12-01 13:34:50+00:00,anti vaccine,neutral
862,2021-12-01 13:34:44+00:00,vaccine effects,negative
863,2021-12-01 13:34:43+00:00,joke,negative
864,2021-12-01 13:34:42+00:00,pro vax,neutral
865,2021-12-01 13:34:40+00:00,anti vaccine,negative
866,2021-12-01 13:34:34+00:00,vaccine effects,negative
867,2021-12-01 13:34:34+00:00,anti vaccine,negative
868,2021-12-01 13:34:27+00:00,joke,neutral
869,2021-12-01 13:34:19+00:00,vaccine effects,positive
870,2021-12-01 13:34:15+00:00,anti vaccine,negative
871,2021-12-01 13:34:09+00:00,pandemic effects,negative
873,2021-12-01 13:33:46+00:00,pandemic effects,negative
874,2021-12-01 13:33:40+00:00,anti vaccine,negative
875,2021-12-01 13:33:28+00:00,pro vax,negative
876,2021-12-01 13:33:18+00:00,joke,negative
877,2021-12-01 13:33:13+00:00,pandemic effects,neutral
878,2021-12-01 13:33:12+00:00,anti vaccine,neutral
879,2021-12-01 13:33:06+00:00,pandemic effects,negative
880,2021-12-01 13:32:58+00:00,pandemic effects,neutral
881,2021-12-01 13:32:36+00:00,joke,negative
882,2021-12-01 13:32:14+00:00,news,neutral
883,2021-12-01 13:32:00+00:00,pro vax,negative
884,2021-12-01 13:31:59+00:00,vaccine effects,neutral
885,2021-12-01 13:31:45+00:00,vaccine effects,neutral
886,2021-12-01 13:31:44+00:00,vaccine effects,neutral
887,2021-12-01 13:31:42+00:00,news,neutral
888,2021-12-01 13:31:39+00:00,pro vax,neutral
889,2021-12-01 13:31:13+00:00,vaccine effects,neutral
891,2021-12-01 13:31:02+00:00,vaccine effects,negative
892,2021-12-01 13:31:00+00:00,infections,neutral
893,2021-12-01 13:30:59+00:00,joke,negative
894,2021-12-01 13:30:45+00:00,pro vax,neutral
895,2021-12-01 13:29:54+00:00,pro vax,neutral
896,2021-12-01 13:28:51+00:00,pro vax,negative
897,2021-12-01 13:28:42+00:00,joke,negative
898,2021-12-01 13:28:35+00:00,anti vaccine,neutral
899,2021-12-01 13:28:11+00:00,anti vaccine,neutral
900,2021-12-01 13:28:06+00:00,joke,negative
901,2021-12-01 13:27:57+00:00,anti vaccine,neutral
902,2021-12-01 13:27:53+00:00,anti vaccine,neutral
903,2021-12-01 13:27:45+00:00,vaccine effects,negative
904,2021-12-01 13:27:38+00:00,anti vaccine,negative
905,2021-12-01 13:27:35+00:00,joke,negative
906,2021-12-01 13:27:09+00:00,infections,negative
907,2021-12-01 13:26:37+00:00,pro vax,positive
908,2021-12-01 13:26:15+00:00,pandemic effects,negative
909,2021-12-01 13:26:12+00:00,anti vaccine,negative
911,2021-12-01 13:25:35+00:00,anti vaccine,neutral
912,2021-12-01 13:25:33+00:00,pro vax,positive
913,2021-12-01 13:25:21+00:00,joke,negative
914,2021-12-01 13:24:24+00:00,vaccine effects,positive
915,2021-12-01 13:24:00+00:00,joke,negative
916,2021-12-01 13:23:46+00:00,vaccine effects,negative
917,2021-12-01 13:23:41+00:00,pandemic effects,negative
918,2021-12-01 13:23:01+00:00,vaccine effects,negative
919,2021-12-01 13:22:36+00:00,pandemic effects,neutral
920,2021-12-01 13:22:34+00:00,pandemic effects,negative
921,2021-12-01 13:22:23+00:00,vaccine effects,neutral
922,2021-12-01 13:22:18+00:00,pro vax,neutral
923,2021-12-01 13:22:11+00:00,pro vax,neutral
926,2021-12-01 13:22:03+00:00,anti vaccine,negative
927,2021-12-01 13:21:59+00:00,pro vax,negative
928,2021-12-01 13:21:57+00:00,pandemic effects,neutral
929,2021-12-01 13:21:50+00:00,pandemic effects,neutral
930,2021-12-01 13:21:41+00:00,pro vax,neutral
931,2021-12-01 13:21:35+00:00,vaccine effects,positive
932,2021-12-01 13:21:30+00:00,vaccine effects,positive
933,2021-12-01 13:21:26+00:00,infections,neutral
934,2021-12-01 13:21:16+00:00,vaccine effects,positive
935,2021-12-01 13:21:04+00:00,vaccine effects,positive
936,2021-12-01 13:21:02+00:00,vaccine effects,neutral
937,2021-12-01 13:20:54+00:00,joke,neutral
938,2021-12-01 13:20:51+00:00,vaccine effects,positive
939,2021-12-01 13:20:48+00:00,pro vax,neutral
940,2021-12-01 13:20:45+00:00,vaccine effects,negative
941,2021-12-01 13:20:40+00:00,anti vaccine,neutral
942,2021-12-01 13:19:32+00:00,news,neutral
943,2021-12-01 13:19:02+00:00,anti vaccine,neutral
944,2021-12-01 13:19:01+00:00,news,neutral
945,2021-12-01 13:18:44+00:00,pandemic effects,negative
946,2021-12-01 13:18:16+00:00,anti vaccine,neutral
947,2021-12-01 13:18:08+00:00,vaccine effects,negative
948,2021-12-01 13:17:45+00:00,pro vax,neutral
950,2021-12-01 13:17:15+00:00,anti vaccine,neutral
951,2021-12-01 13:17:14+00:00,joke,negative
952,2021-12-01 13:16:55+00:00,pandemic effects,negative
953,2021-12-01 13:16:49+00:00,pandemic effects,negative
954,2021-12-01 13:16:48+00:00,joke,negative
955,2021-12-01 13:16:28+00:00,anti vaccine,neutral
956,2021-12-01 13:15:33+00:00,pandemic effects,neutral
957,2021-12-01 13:15:29+00:00,anti vaccine,neutral
958,2021-12-01 13:15:00+00:00,pro vax,neutral
959,2021-12-01 13:14:59+00:00,pandemic effects,negative
960,2021-12-01 13:14:42+00:00,anti vaccine,negative
961,2021-12-01 13:14:39+00:00,anti vaccine,negative
962,2021-12-01 13:14:36+00:00,pandemic effects,negative
963,2021-12-01 13:14:29+00:00,joke,negative
964,2021-12-01 13:14:13+00:00,infections,negative
965,2021-12-01 13:13:56+00:00,infections,positive
966,2021-12-01 13:13:54+00:00,vaccine effects,positive
967,2021-12-01 13:13:51+00:00,joke,negative
968,2021-12-01 13:13:46+00:00,news,neutral
969,2021-12-01 13:13:39+00:00,vaccine effects,negative
970,2021-12-01 13:13:35+00:00,anti vaccine,neutral
971,2021-12-01 13:13:07+00:00,anti vaccine,neutral
972,2021-12-01 13:12:35+00:00,anti vaccine,positive
973,2021-12-01 13:11:59+00:00,pandemic effects,negative
974,2021-12-01 13:11:52+00:00,joke,neutral
975,2021-12-01 13:11:41+00:00,pandemic effects,negative
976,2021-12-01 13:11:39+00:00,pro vax,neutral
978,2021-12-01 13:11:01+00:00,joke,negative
979,2021-12-01 13:10:44+00:00,news,neutral
980,2021-12-01 13:09:12+00:00,vaccine effects,negative
981,2021-12-01 13:07:55+00:00,pandemic effects,positive
982,2021-12-01 13:07:53+00:00,anti vaccine,neutral
983,2021-12-01 13:07:31+00:00,anti vaccine,negative
984,2021-12-01 13:06:48+00:00,infections,positive
985,2021-12-01 13:06:48+00:00,pandemic effects,negative
986,2021-12-01 13:06:30+00:00,vaccine effects,negative
987,2021-12-01 13:06:25+00:00,vaccine effects,positive
988,2021-12-01 13:06:21+00:00,joke,neutral
989,2021-12-01 13:05:40+00:00,anti vaccine,neutral
990,2021-12-01 13:05:14+00:00,anti vaccine,neutral
991,2021-12-01 13:05:01+00:00,anti vaccine,neutral
992,2021-12-01 13:05:00+00:00,anti vaccine,neutral
993,2021-12-01 13:04:44+00:00,joke,neutral
994,2021-12-01 13:04:18+00:00,vaccine effects,negative
995,2021-12-01 13:04:00+00:00,infections,neutral
996,2021-12-01 13:03:48+00:00,vaccine effects,negative
997,2021-12-01 13:02:36+00:00,infections,neutral
998,2021-12-01 13:02:25+00:00,infections,neutral
999,2021-12-01 13:02:18+00:00,vaccine effects,negative
